ND7-KD;PGM-KD;PS17-KD;AS17-KD
0,821098851;0,896371856;0,007485259;0,298435641
0,809279499;1,107305628;0,011927431;0,490906635
0,962621699;1,552092005;0,007895763;0,57355682
1,488063249;1,372435885;0,026406136;0,678007361
0,876033053;1,30524803;0,008002851;0,459819362
1,012255041;1,786196465;0,077374113;1,20746273
1,078578259;1,534955929;0,012270509;0,25648686
1,06350462;1,618948681;0,235360762;0,440896502
0,746291877;1,388550658;0,06512046;0,828085356
1,142273853;1,462796411;0,064840841;0,485076284
;1,127285488;;